a_id,a_subtype,at_ip,at_fqdn,a_tags,v_name,v_description,v_remedy,v_severity,v_location,v_cve,v_cwe,v_published_datetime,v_tags,v_details
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-42753: linux -- security update,Debian: CVE-2023-42753: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-42753,,25-09-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""6.6"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2021-3594: libslirp, qemu -- security update","Debian: CVE-2021-3594: libslirp, qemu -- security update",Please refer to vendor security advisory for remediation steps.,5,/,CVE-2021-3594,,15-06-2021 00:00:00,"[{""key"": ""severity"", ""value"": ""Moderate""}, {""key"": ""cvss_v3"", ""value"": ""3.8""}]","{""cvss_v2"": ""2.1"", ""cvss_v3"": ""3.8"", ""risk_score"": ""254"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38202: linux, linux-6.1 -- security update","Debian: CVE-2025-38202: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38202,,04-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-42329: linux -- security update,Debian: CVE-2022-42329: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-42329,,07-12-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38512: linux, linux-6.1 -- security update","Debian: CVE-2025-38512: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38512,,18-08-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""1"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-3341: bind9 -- security update,Debian: CVE-2023-3341: bind9 -- security update,Please refer to vendor security advisory for remediation steps.,10,/,CVE-2023-3341,,20-09-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""7.8"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-36946: linux -- security update,Debian: CVE-2024-36946: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-36946,,30-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.1""}]","{""cvss_v2"": ""6.2"", ""cvss_v3"": ""7.1"", ""risk_score"": ""475"", ""instances"": ""6"", ""modified_on"": ""2/18/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-37829: linux, linux-6.1 -- security update","Debian: CVE-2025-37829: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-37829,,08-05-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""1"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-36054: krb5 -- security update,Debian: CVE-2023-36054: krb5 -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-36054,,07-08-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""6.5""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""6.5"", ""risk_score"": ""435"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-0359: vim -- security update,Debian: CVE-2022-0359: vim -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-0359,,26-01-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-3256: vim -- security update,Debian: CVE-2022-3256: vim -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-3256,,22-09-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.9"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-27419: linux -- security update,Debian: CVE-2024-27419: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-27419,,17-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""2/18/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2024-36357: linux, linux-6.1 -- security update","Debian: CVE-2024-36357: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-36357,,08-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.6""}]","{""cvss_v2"": ""4.4"", ""cvss_v3"": ""5.6"", ""risk_score"": ""375"", ""instances"": ""29"", ""modified_on"": ""10/14/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2025-32023: redis -- security update,Debian: CVE-2025-32023: redis -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-32023,,07-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""6.6"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""1"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Apache Tomcat: Important: Denial of Service (CVE-2021-41079),Apache Tomcat: Important: Denial of Service (CVE-2021-41079),Please refer to vendor security advisory for remediation steps.,8,/,CVE-2021-41079,,16-09-2021 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""4.3"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""1"", ""modified_on"": ""8/11/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2024-26739: linux, linux-6.1 -- security update","Debian: CVE-2024-26739: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-26739,,03-04-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""1"", ""modified_on"": ""10/14/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-35984: linux -- security update,Debian: CVE-2024-35984: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-35984,,20-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-37884: linux, linux-6.1 -- security update","Debian: CVE-2025-37884: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-37884,,09-05-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""1"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-37905: linux, linux-6.1 -- security update","Debian: CVE-2025-37905: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-37905,,20-05-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""1"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-27008: linux -- security update,Debian: CVE-2024-27008: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-27008,,01-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-39188: linux -- security update,Debian: CVE-2022-39188: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-39188,,02-09-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""4.7""}]","{""cvss_v2"": ""4.4"", ""cvss_v3"": ""4.7"", ""risk_score"": ""315"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-43750: linux -- security update,Debian: CVE-2022-43750: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-43750,,26-10-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""6.7""}]","{""cvss_v2"": ""6.5"", ""cvss_v3"": ""6.7"", ""risk_score"": ""449"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-26966: linux -- security update,Debian: CVE-2024-26966: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-26966,,01-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-0361: gnutls28 -- security update,Debian: CVE-2023-0361: gnutls28 -- security update,Please refer to vendor security advisory for remediation steps.,10,/,CVE-2023-0361,,16-02-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""7.4""}]","{""cvss_v2"": ""8.8"", ""cvss_v3"": ""7.4"", ""risk_score"": ""495"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-35982: linux -- security update,Debian: CVE-2024-35982: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-35982,,20-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-0803: tiff -- security update,Debian: CVE-2023-0803: tiff -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-0803,,13-02-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""6.8""}]","{""cvss_v2"": ""5.6"", ""cvss_v3"": ""6.8"", ""risk_score"": ""455"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-26625: linux -- security update,Debian: CVE-2024-26625: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-26625,,06-03-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-4645: tiff -- security update,Debian: CVE-2022-4645: tiff -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-4645,,03-03-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""6.8""}]","{""cvss_v2"": ""5.6"", ""cvss_v3"": ""6.8"", ""risk_score"": ""455"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-0368: vim -- security update,Debian: CVE-2022-0368: vim -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-0368,,26-01-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2020-10735: pypy3, python3.11, python3.9 -- security update","Debian: CVE-2020-10735: pypy3, python3.11, python3.9 -- security update",Please refer to vendor security advisory for remediation steps.,10,/,CVE-2020-10735,,09-09-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""7.8"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-21878: linux, linux-6.1 -- security update","Debian: CVE-2025-21878: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-21878,,27-03-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""1"", ""modified_on"": ""10/30/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-35886: linux -- security update,Debian: CVE-2024-35886: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-35886,,19-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""2/20/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-3598: tiff -- security update,Debian: CVE-2022-3598: tiff -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-3598,,21-10-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.7"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-23218: glibc -- security update,Debian: CVE-2022-23218: glibc -- security update,Please refer to vendor security advisory for remediation steps.,10,/,CVE-2022-23218,,14-01-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""9.8""}]","{""cvss_v2"": ""7.5"", ""cvss_v3"": ""9.8"", ""risk_score"": ""656"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38212: linux, linux-6.1 -- security update","Debian: CVE-2025-38212: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38212,,04-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""6.2"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-22072: linux, linux-6.1 -- security update","Debian: CVE-2025-22072: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-22072,,16-04-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""1"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2021-4192: vim -- security update,Debian: CVE-2021-4192: vim -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2021-4192,,31-12-2021 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
